system,id,coverage,density
llama3.1:latest,08c88b7d81f148ce95c37ac8a2b0c921,0.8936,3.0213
llama3.1:latest,0adb86356834452298d180104ff54179,0.875,2.7083
llama3.1:latest,0f1d41fcf8934fdf8fc993851ba9c6c4,0.9608,8.5294
llama3.1:latest,12e2247575bb460284ecaa276965b73f,0.8958,2.1875
llama3.1:latest,14f71296e6404651bfdcfd300ddebcf8,0.8824,2.7255
llama3.1:latest,1837ffd3608240eb94975a7144547467,0.9362,3.7872
llama3.1:latest,18cba9a8f2f64055a707452638182303,0.9259,6.037
llama3.1:latest,197ac2ec9f4247bca556023c0593c113,0.8958,2.5625
llama3.1:latest,1d6de9a1cfdc48f989f485d297fe294e,0.7959,1.7347
llama3.1:latest,1e9e8efed5544ebf8e20ae191c32a936,0.7872,1.766
llama3.1:latest,1ea22520bd7b4fe288c62159e02f803d,0.8542,1.6458
llama3.1:latest,220155949987431794d2c35d7fab6b3e,0.8696,3.1304
llama3.1:latest,22e7e602ee234513be86ebb57199b827,0.9412,3.451
llama3.1:latest,24df2a97c6a94a40b5f291ad5e5314b0,0.8571,4.1633
llama3.1:latest,2569a0bebc5f487db4a5485b0c0896ec,0.9111,3.1333
llama3.1:latest,2ade281594b94155aa8c344f1302c0a6,0.898,3.1837
llama3.1:latest,2c80f9196b654048b01397ebd52d3518,0.9216,3.0392
llama3.1:latest,302c800172da420f9e2e80474a9cf5ec,0.8364,2.5091
llama3.1:latest,3258d30c9b0a46afb2999af98a1123a1,0.7778,1.8889
llama3.1:latest,3437e88f01a7470b8e227c785ff0bf0d,0.9286,2.4048
llama3.1:latest,3b82559a2edb48c7bffca655c43fe34d,0.6364,1.0
llama3.1:latest,3d313cc616b64884a3c351a691d5095a,0.8605,1.9302
llama3.1:latest,423df8e4d9004e028cebb47f06bd1e35,0.8868,2.2453
llama3.1:latest,43fe258814434c85a12ac88831a476c3,0.9434,4.0377
llama3.1:latest,448cb2d5d0d6490083ae1b751f0b2e7b,0.7857,1.5
llama3.1:latest,4f36bb563c2949a58db7198e337e64c1,0.9216,3.7059
llama3.1:latest,532b122b3bf54cf5a694141c313af07d,0.8846,2.7308
llama3.1:latest,58b81f0f9fa34aeea9f49e9c97241063,0.8627,3.0588
llama3.1:latest,5a5d2bbfb7a74067abfb31a5f4888c71,0.8824,2.6078
llama3.1:latest,649b09bfce674ca1bfd66a519fcdf59a,0.8125,2.8958
llama3.1:latest,658c33365a264d1ebb7adace464406e9,0.7955,1.9773
llama3.1:latest,66f39853ad2b437c8bdca86ae74bb35f,0.8261,5.3913
llama3.1:latest,6b138ac4c76b4b32ab6639bfef6dfaad,0.9756,4.7317
llama3.1:latest,6f18757d62184196b18ed0ecda6b55bc,0.9184,2.9592
llama3.1:latest,7003129c4b77441b96743d87085f4d58,0.9565,4.2609
llama3.1:latest,75aac08a2e784973badd5fb5b4a41397,0.8958,3.2708
llama3.1:latest,77dd7eb99eaa458a9c33612845124d03,0.8085,2.1277
llama3.1:latest,7d6aca97a8934adda2d0a5481808a5c8,0.8704,3.1296
llama3.1:latest,7f46ca0ef37c46ca8e371c1fd9604d5c,0.7872,1.9787
llama3.1:latest,82b69aa5acc04079a6d99ec7523f9af4,1.0,2.5926
llama3.1:latest,8319ea726dbb4eeab639c70ff3f72ec2,0.84,1.72
llama3.1:latest,84fa3eec483747ba97c6b025c53e3005,0.95,3.55
llama3.1:latest,8a87811f45754cd1b17c00e03d1f2773,0.7727,1.6818
llama3.1:latest,909f8362981a44eeae5060ea05eb31e6,0.8333,3.7083
llama3.1:latest,91394827e78e484084a81a6fae226b3a,0.8654,2.2885
llama3.1:latest,94cc70c2c23d4be4b93990116be9ecee,0.8163,1.5102
llama3.1:latest,9748bf127ca74011b21fcea01135e263,0.8163,2.8571
llama3.1:latest,975160e2274c49e3abe326d8e6c5e367,0.9149,3.6383
llama3.1:latest,9e58291d3d234e4eb2ba38f90326eca3,0.7907,1.3953
llama3.1:latest,9ff67e17a61f4b98ba99f986aea9b37c,0.7647,6.0588
llama3.1:latest,a23c8027fce646de9c068bbf1d759c36,0.8909,2.3818
llama3.1:latest,a7d2b321390e4874bbbfc95f9ec862f9,0.8627,2.5882
llama3.1:latest,acdd4f4f718740f3806bf0e30d038b66,0.8,1.76
llama3.1:latest,b1ef36b906cc46f2901d438f650f4672,0.9362,3.8723
llama3.1:latest,b3168ab4857d4190ac3b2eb46d096f81,0.9057,2.4528
llama3.1:latest,b6c205d481654a9887690b363229dba7,0.9348,3.7609
llama3.1:latest,b799bf9fa6484454aa8e6558ad2e05fe,0.9773,5.2955
llama3.1:latest,bd35a4e31c6a4123bc4f94e0cbf78981,0.9615,5.2692
llama3.1:latest,bd9969ecd80e4ee685dfac604074f285,0.9592,3.2041
llama3.1:latest,c346a0a6d6074573bcbe3a1c0bab1354,0.8367,2.1837
llama3.1:latest,c49141df06f643f38cc7ea59635592bb,0.9348,4.4565
llama3.1:latest,c4a977ddeb9f42b38b5fad9d418a3637,0.9091,4.3182
llama3.1:latest,cf18e4a6728349f3afd5e1a2ca3f8a37,0.8824,1.4706
llama3.1:latest,e1bf92b382b44b7d8a012889c0b7e60e,0.8627,2.0392
llama3.1:latest,e399444828cc4d3c888daec393e94309,0.8478,2.1957
llama3.1:latest,e53a5dad7de549729c853216c64b9b44,0.9038,5.0962
llama3.1:latest,e92a0e61638344b8aebea5964d19694c,0.9184,4.8776
llama3.1:latest,eaf927e02e984ee18ef7cf147a40245e,0.9184,2.8367
llama3.1:latest,ef808d6c26924d8ca7f9ab88c54b12bd,0.7551,1.0816
llama3.1:latest,f1d84317501a4ba285f0e81384471f6e,0.8958,2.3542
llama3.1:latest,f1e71c7354f74bd19bd9006c888ddb0a,0.9149,3.0851
llama3.1:latest,f39e71a1b09d4cc9a52df7e49cc0437f,0.7143,1.6531
llama3.1:latest,fa6aef87d0da4352885dd68996ff2c98,0.9231,2.8462
llama3.1:latest,fc0759c80e584fa4b407d74b350f2c6c,0.9167,2.0417
llama3.1:latest,fd3b3290114f481388e56dd43b873253,0.9333,2.7667
llama3.1:latest,fff3805552f8494a93d9f149be98a250,0.907,2.3023
gemma2:9b,08c88b7d81f148ce95c37ac8a2b0c921,0.7812,1.1562
gemma2:9b,0adb86356834452298d180104ff54179,0.875,2.275
gemma2:9b,0f1d41fcf8934fdf8fc993851ba9c6c4,0.8421,1.6316
gemma2:9b,12e2247575bb460284ecaa276965b73f,0.8846,2.2692
gemma2:9b,14f71296e6404651bfdcfd300ddebcf8,0.85,3.1
gemma2:9b,1837ffd3608240eb94975a7144547467,0.9189,3.6757
gemma2:9b,18cba9a8f2f64055a707452638182303,0.7872,1.9362
gemma2:9b,197ac2ec9f4247bca556023c0593c113,0.9211,2.7105
gemma2:9b,1d6de9a1cfdc48f989f485d297fe294e,0.7381,1.4048
gemma2:9b,1e9e8efed5544ebf8e20ae191c32a936,0.75,1.1667
gemma2:9b,1ea22520bd7b4fe288c62159e02f803d,0.6111,1.1111
gemma2:9b,220155949987431794d2c35d7fab6b3e,0.7447,2.0213
gemma2:9b,22e7e602ee234513be86ebb57199b827,0.7551,2.102
gemma2:9b,24df2a97c6a94a40b5f291ad5e5314b0,0.8113,1.7925
gemma2:9b,2569a0bebc5f487db4a5485b0c0896ec,0.8571,2.2857
gemma2:9b,2ade281594b94155aa8c344f1302c0a6,0.8537,2.122
gemma2:9b,2c80f9196b654048b01397ebd52d3518,1.0,2.8222
gemma2:9b,302c800172da420f9e2e80474a9cf5ec,0.7091,1.3636
gemma2:9b,3258d30c9b0a46afb2999af98a1123a1,0.8571,2.0476
gemma2:9b,3437e88f01a7470b8e227c785ff0bf0d,0.8704,2.0926
gemma2:9b,3b82559a2edb48c7bffca655c43fe34d,0.6154,0.9615
gemma2:9b,3d313cc616b64884a3c351a691d5095a,0.814,1.6047
gemma2:9b,423df8e4d9004e028cebb47f06bd1e35,0.8158,2.1842
gemma2:9b,43fe258814434c85a12ac88831a476c3,0.9512,2.3659
gemma2:9b,448cb2d5d0d6490083ae1b751f0b2e7b,0.7273,1.3636
gemma2:9b,4f36bb563c2949a58db7198e337e64c1,0.8235,2.1961
gemma2:9b,532b122b3bf54cf5a694141c313af07d,0.8478,2.5
gemma2:9b,58b81f0f9fa34aeea9f49e9c97241063,0.878,4.1463
gemma2:9b,5a5d2bbfb7a74067abfb31a5f4888c71,0.9333,3.6889
gemma2:9b,649b09bfce674ca1bfd66a519fcdf59a,0.7292,1.3958
gemma2:9b,658c33365a264d1ebb7adace464406e9,0.6786,1.8214
gemma2:9b,66f39853ad2b437c8bdca86ae74bb35f,0.7,1.1
